purpose,role,flop,probe_file,preflop,flop_actions_pre,action_type,action_name,betsize,betsize_by_pot,is_allin,total_frequency,total_ev,total_combos
boundary_or_bb_oop,BB,8s5d3c,drill_8s5d3c_SRP_flop_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.8945,0.0,1051.9486327171326
boundary_or_bb_oop,BB,8s5d3c,drill_8s5d3c_SRP_flop_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.1055,0.0,124.05136728286743
boundary_or_bb_oop,BB,9s8d7c,drill_9s8d7c_SRP_flop_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9401,0.0,1105.591332435608
boundary_or_bb_oop,BB,9s8d7c,drill_9s8d7c_SRP_flop_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0599,0.0,70.40870261192322
boundary_or_bb_oop,BB,9s8d7c,drill_9s8d7c_SRP_turn_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9401,0.0,1105.591332435608
boundary_or_bb_oop,BB,9s8d7c,drill_9s8d7c_SRP_turn_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0599,0.0,70.40870261192322
boundary_or_bb_oop,BB,astd4c,drill_AsTd4c_SRP_flop_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9621,0.0,1131.3829507827759
boundary_or_bb_oop,BB,astd4c,drill_AsTd4c_SRP_flop_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0379,0.0,44.617022931575775
boundary_or_bb_oop,BB,js7s3h,drill_Js7s3h_SRP_river_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9668,0.0,1136.99476146698
boundary_or_bb_oop,BB,js7s3h,drill_Js7s3h_SRP_river_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0332,0.0,39.005216628313065
boundary_or_bb_oop,BB,jsts4s,drill_JsTs4s_SRP_flop_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9917,0.0,1166.195803642273
boundary_or_bb_oop,BB,jsts4s,drill_JsTs4s_SRP_flop_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0083,0.0,9.804221548140049
boundary_or_bb_oop,BB,kskd4c,drill_KsKd4c_SRP_flop_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9767,0.0,1148.6435794830322
boundary_or_bb_oop,BB,kskd4c,drill_KsKd4c_SRP_flop_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0233,0.0,27.356394231319427
boundary_or_bb_oop,BB,qhjd9c,drill_QhJd9c_SRP_flop_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9804,0.0,1152.9204998016357
