spot_id,n,primary_size_pot,board_family,street,family,low_bet_freq,mid_bet_freq,high_bet_freq,polar_score,linear_score,spot_type,size_bucket
SB_BB_KJT_fd,3029,0.981,dynamic_2tone,flop,,0.1480588932806324,0.13946717960411817,0.14418718626155877,0.008591713676514234,-0.0038717070190736336,linear,big (≥85%)
SB_BB_KJT_rain,3029,0.981,dynamic,flop,,0.17042902374670185,0.1348009247027741,0.16648163804491414,0.03562809904392775,-0.003947385701787709,linear,big (≥85%)
SB_BB_KK8_rain,3024,0.335,paired,flop,,0.2573332892998679,0.25242119914853356,0.2894710317460318,0.004912090151334314,0.03213774244616391,linear,small (≤45%)
SB_BB_Q83_fd,3052,0.335,dry_high,flop,,0.1830275229357798,0.12773260697645694,0.15648228346456694,0.05529491595932287,-0.026545239471212873,linear,small (≤45%)
SB_BB_Q83_rain,3051,0.335,dry_high,flop,,0.21041164921465969,0.14945718852230627,0.2134779527559055,0.06095446069235341,0.0030663035412458184,linear,small (≤45%)
SB_BB_T74_fd,3050,0.981,low_dry,flop,,0.095675,0.09680275590551181,0.14352244094488187,-0.0011277559055118125,0.04784744094488187,linear,big (≥85%)
SB_BB_T74_rain,3049,0.981,low_dry,flop,,0.12508387942332896,0.14954658792650918,0.25306719160104985,-0.02446270850318022,0.12798331217772088,linear,big (≥85%)
SB_BB_T98_fd,3034,0.335,dynamic_2tone,flop,,0.099433465085639,0.14029649578844544,0.21651002638522426,-0.04086303070280645,0.11707656129958527,linear,small (≤45%)
SB_BB_T98_rain,3034,0.335,dynamic,flop,,0.0812935441370224,0.11833048657968931,0.16749894459102904,-0.037036942442666906,0.08620540045400664,linear,small (≤45%)
T98r_2,3514,1.093,dynamic,turn,,0.0004370875995449374,0.0002391439856336157,0.007351649601820251,0.00019794361391132172,0.006914562002275314,linear,big (≥85%)
T98r_7,3487,4.569,dynamic,turn,,0.1092261487964989,0.02733573338025642,0.060075287356321845,0.08189041541624248,-0.04915086144017706,linear,big (≥85%)
T98r_A,3475,1.093,dynamic,turn,,0.00041058688147295745,0.0002230790494549639,0.0006964326812428078,0.00018750783201799354,0.00028584579976985035,linear,big (≥85%)
T98r_J,3484,1.093,dynamic,turn,,0.256983296460177,0.03388238993667608,0.05262583237657865,0.2231009065235009,-0.20435746408359834,polarized,big (≥85%)
T98r_T,3486,4.569,dynamic,turn,,8.314220183486238e-05,6.43789548618435e-05,0.000151605504587156,1.8763246973018882e-05,6.846330275229361e-05,linear,big (≥85%)
UTG_BB_742_fd,2676,1.156,low_dry,flop,,0.5512116591928251,0.4074856305299848,0.6902077727952167,0.1437260286628403,0.1389961136023916,polarized,big (≥85%)
UTG_BB_742_rain,2676,1.156,low_dry,flop,,0.5644101492537313,0.38267612443274884,0.6883124065769806,0.1817340248209825,0.12390225732324922,polarized,big (≥85%)
UTG_BB_765_fd,2671,0.33,dynamic_2tone,flop,,0.4316297904191617,0.3547791323649553,0.6002452095808383,0.07685065805420643,0.16861541916167655,linear,small (≤45%)
UTG_BB_765_rain,2671,1.156,dynamic,flop,,0.40279820359281443,0.21865448935482568,0.43510329341317366,0.18414371423798875,0.032305089820359234,polarized,big (≥85%)
UTG_BB_A72_fd,2655,0.33,dry_high,flop,,0.6162520300751879,0.49465288347961983,0.6413775263951734,0.12159914659556809,0.025125496319985507,polarized,small (≤45%)
UTG_BB_A72_rain,2654,0.33,dry_high,flop,,0.627072891566265,0.4791787795980301,0.6457532428355958,0.14789411196823488,0.018680351269330764,polarized,small (≤45%)
UTG_BB_A94_fd,2653,0.33,dry_high,flop,,0.6243009022556391,0.4728571183525644,0.632478247734139,0.15144378390307467,0.008177345478499909,polarized,small (≤45%)
UTG_BB_A94_rain,2652,0.33,dry_high,flop,,0.6277409638554217,0.4693160776034652,0.6357728096676737,0.15842488625195644,0.008031845812252025,polarized,small (≤45%)
UTG_BB_AA7_rain,2632,0.33,paired,flop,,0.6486252279635258,0.4691073336915562,0.6606366818873668,0.17951789427196962,0.012011453923840953,polarized,small (≤45%)
UTG_BB_J73_fd,2660,1.156,dry_high,flop,,0.5492031531531532,0.47485604447866653,0.6195861654135338,0.07434710867448663,0.07038301226038068,linear,big (≥85%)
UTG_BB_J73_rain,2660,1.156,dry_high,flop,,0.4844341353383459,0.38392922093780524,0.5850774436090226,0.10050491440054066,0.10064330827067669,polarized,big (≥85%)
UTG_BB_K72_fd,2657,0.33,dry_high,flop,,0.5813702255639097,0.486525,0.6266171686746989,0.09484522556390973,0.04524694311078914,linear,small (≤45%)
UTG_BB_K72_rain,2657,0.33,dry_high,flop,,0.6382615037593985,0.4995012928027901,0.6766024132730015,0.1387602109566084,0.03834090951360303,polarized,small (≤45%)
UTG_BB_K98_fd,2651,1.156,dry_high,flop,,0.45483770739064855,0.35889879324957963,0.5332223227752639,0.09593891414106892,0.07838461538461539,linear,big (≥85%)
UTG_BB_K98_rain,2650,1.156,dry_high,flop,,0.5103680722891567,0.3675104229607251,0.5739370090634441,0.1428576493284316,0.06356893677428743,polarized,big (≥85%)
